Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
,,,,,,,,,,,
1691088000000,0.66200000,0.66200000,0.66200000,0.66200000,0.00000000,1691088059999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088060000,0.66200000,0.66200000,0.66200000,0.66200000,0.00000000,1691088119999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088120000,0.66200000,0.66200000,0.66200000,0.66200000,0.00000000,1691088179999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088180000,0.66200000,0.66200000,0.66200000,0.66200000,0.00000000,1691088239999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088240000,0.66200000,0.66200000,0.66200000,0.66200000,0.00000000,1691088299999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088300000,0.66600000,0.66900000,0.66600000,0.66900000,820.49000000,1691088359999,548.51908000,3,820.49000000,548.51908000,0
,,,,,,,,,,,
1691088360000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691088419999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088420000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691088479999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088480000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691088539999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088540000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691088599999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088600000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691088659999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088660000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691088719999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088720000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691088779999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088780000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691088839999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088840000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691088899999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088900000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691088959999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691088960000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089019999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089020000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089079999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089080000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089139999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089140000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089199999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089200000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089259999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089260000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089319999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089320000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089379999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089380000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089439999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089440000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089499999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089500000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089559999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089560000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089619999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089620000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089679999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089680000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089739999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089740000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089799999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089800000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089859999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089860000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089919999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089920000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691089979999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691089980000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090039999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090040000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090099999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090100000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090159999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090160000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090219999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090220000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090279999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090280000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090339999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090340000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090399999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090400000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090459999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090460000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090519999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090520000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090579999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090580000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090639999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090640000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090699999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090700000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090759999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090760000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090819999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090820000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090879999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090880000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090939999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691090940000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691090999999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691091000000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691091059999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691091060000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691091119999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
1691091120000,0.66900000,0.66900000,0.66900000,0.66900000,0.00000000,1691091179999,0.00000000,0,0.00000000,0.00000000,0
,,,,,,,,,,,
