Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
1691226060000,0.01227000,0.01227000,0.01227000,0.01227000,0.00000000,1691226119999,0.00000000,0,0.00000000,0.00000000,0
1691226120000,0.01227000,0.01227000,0.01227000,0.01227000,0.00000000,1691226179999,0.00000000,0,0.00000000,0.00000000,0
1691226180000,0.01227000,0.01227000,0.01227000,0.01227000,0.00000000,1691226239999,0.00000000,0,0.00000000,0.00000000,0
1691226240000,0.01227000,0.01227000,0.01227000,0.01227000,0.00000000,1691226299999,0.00000000,0,0.00000000,0.00000000,0
1691226300000,0.01227000,0.01227000,0.01227000,0.01227000,0.00000000,1691226359999,0.00000000,0,0.00000000,0.00000000,0
1691226360000,0.01227000,0.01227000,0.01227000,0.01227000,0.00000000,1691226419999,0.00000000,0,0.00000000,0.00000000,0
1691226420000,0.01227000,0.01227000,0.01227000,0.01227000,45900.00000000,1691226479999,563.19300000,3,0.00000000,0.00000000,0
1691226480000,0.01228000,0.01229000,0.01228000,0.01229000,60392.70000000,1691226539999,741.63875700,5,60392.70000000,741.63875700,0
1691226540000,0.01228000,0.01228000,0.01228000,0.01228000,5241.80000000,1691226599999,64.36930400,1,0.00000000,0.00000000,0
1691226600000,0.01229000,0.01230000,0.01229000,0.01230000,524165.10000000,1691226659999,6447.22092000,14,512429.10000000,6302.86812000,0
1691226660000,0.01229000,0.01229000,0.01229000,0.01229000,77698.10000000,1691226719999,954.90964900,3,0.00000000,0.00000000,0
1691226720000,0.01229000,0.01229000,0.01229000,0.01229000,0.00000000,1691226779999,0.00000000,0,0.00000000,0.00000000,0
1691226780000,0.01229000,0.01230000,0.01229000,0.01230000,56275.00000000,1691226839999,691.97270100,3,56275.00000000,691.97270100,0
1691226840000,0.01230000,0.01230000,0.01230000,0.01230000,0.00000000,1691226899999,0.00000000,0,0.00000000,0.00000000,0
1691226900000,0.01229000,0.01229000,0.01229000,0.01229000,58683.30000000,1691226959999,721.21775700,10,4349.20000000,53.45166800,0
1691226960000,0.01229000,0.01230000,0.01229000,0.01230000,3502.10000000,1691227019999,43.05707300,2,1626.40000000,20.00472000,0
1691227020000,0.01230000,0.01230000,0.01230000,0.01230000,0.00000000,1691227079999,0.00000000,0,0.00000000,0.00000000,0
1691227080000,0.01230000,0.01230000,0.01230000,0.01230000,0.00000000,1691227139999,0.00000000,0,0.00000000,0.00000000,0
1691227140000,0.01230000,0.01231000,0.01230000,0.01231000,85617.40000000,1691227199999,1053.55770900,6,85617.40000000,1053.55770900,0
1691227200000,0.01231000,0.01231000,0.01230000,0.01230000,309597.20000000,1691227259999,3810.87258900,17,283597.20000000,3491.07258900,0
1691227260000,0.01230000,0.01232000,0.01230000,0.01232000,34954.70000000,1691227319999,430.32493400,6,31383.60000000,386.40040400,0
1691227320000,0.01232000,0.01232000,0.01232000,0.01232000,0.00000000,1691227379999,0.00000000,0,0.00000000,0.00000000,0
1691227380000,0.01232000,0.01232000,0.01232000,0.01232000,41773.10000000,1691227439999,514.64459200,4,41773.10000000,514.64459200,0
1691227440000,0.01232000,0.01232000,0.01232000,0.01232000,134298.50000000,1691227499999,1654.55752000,8,134298.50000000,1654.55752000,0
1691227500000,0.01232000,0.01232000,0.01232000,0.01232000,1959.50000000,1691227559999,24.14104000,1,1959.50000000,24.14104000,0
1691227560000,0.01231000,0.01231000,0.01230000,0.01230000,28366.00000000,1691227619999,349.06152800,4,0.00000000,0.00000000,0
1691227620000,0.01232000,0.01232000,0.01232000,0.01232000,90074.40000000,1691227679999,1109.71660800,8,90074.40000000,1109.71660800,0
